reference,city,state,country
1,Medellín,Antioquia,Colombia
2,Abejorral,Antioquia,Colombia
3,Abriaquí,Antioquia,Colombia
4,Alejandría,Antioquia,Colombia
5,Amagá,Antioquia,Colombia
6,Amalfi,Antioquia,Colombia
7,Andes,Antioquia,Colombia
8,Angelópolis,Antioquia,Colombia
9,Angostura,Antioquia,Colombia
10,Anorí,Antioquia,Colombia
11,Tununguá,Boyacá,Colombia
12,Anza,Antioquia,Colombia
13,Apartadó,Antioquia,Colombia
14,Arboletes,Antioquia,Colombia
15,Argelia,Antioquia,Colombia
16,Armenia,Antioquia,Colombia
17,Barbosa,Antioquia,Colombia
18,Bello,Antioquia,Colombia
19,Betania,Antioquia,Colombia
20,Betulia,Antioquia,Colombia
21,Ciudad Bolívar,Antioquia,Colombia
22,Briceño,Antioquia,Colombia
23,Buriticá,Antioquia,Colombia
24,Cáceres,Antioquia,Colombia
25,Caicedo,Antioquia,Colombia
26,Caldas,Antioquia,Colombia
27,Campamento,Antioquia,Colombia
28,Cañasgordas,Antioquia,Colombia
29,Caracolí,Antioquia,Colombia
30,Caramanta,Antioquia,Colombia
31,Carepa,Antioquia,Colombia
32,Motavita,Boyacá,Colombia
33,Carolina,Antioquia,Colombia
34,Caucasia,Antioquia,Colombia
35,Chigorodó,Antioquia,Colombia
36,Cisneros,Antioquia,Colombia
37,Cocorná,Antioquia,Colombia
38,Concepción,Antioquia,Colombia
39,Concordia,Antioquia,Colombia
40,Copacabana,Antioquia,Colombia
41,Dabeiba,Antioquia,Colombia
42,Don Matías,Antioquia,Colombia
43,Ebéjico,Antioquia,Colombia
44,El Bagre,Antioquia,Colombia
45,Entrerrios,Antioquia,Colombia
46,Envigado,Antioquia,Colombia
47,Fredonia,Antioquia,Colombia
48,San Bernardo del Viento,Córdoba,Colombia
49,Giraldo,Antioquia,Colombia
50,Girardota,Antioquia,Colombia
51,Gómez Plata,Antioquia,Colombia
52,Istmina,Chocó,Colombia
53,Guadalupe,Antioquia,Colombia
54,Guarne,Antioquia,Colombia
55,Guatapé,Antioquia,Colombia
56,Heliconia,Antioquia,Colombia
57,Hispania,Antioquia,Colombia
58,Itagui,Antioquia,Colombia
59,Ituango,Antioquia,Colombia
60,Belmira,Antioquia,Colombia
61,Jericó,Antioquia,Colombia
62,La Ceja,Antioquia,Colombia
63,La Estrella,Antioquia,Colombia
64,La Pintada,Antioquia,Colombia
65,La Unión,Antioquia,Colombia
66,Liborina,Antioquia,Colombia
67,Maceo,Antioquia,Colombia
68,Marinilla,Antioquia,Colombia
69,Montebello,Antioquia,Colombia
70,Murindó,Antioquia,Colombia
71,Mutatá,Antioquia,Colombia
72,Nariño,Antioquia,Colombia
73,Necoclí,Antioquia,Colombia
74,Nechí,Antioquia,Colombia
75,Olaya,Antioquia,Colombia
76,Peñol,Antioquia,Colombia
77,Peque,Antioquia,Colombia
78,Pueblorrico,Antioquia,Colombia
79,Puerto Berrío,Antioquia,Colombia
80,Puerto Nare,Antioquia,Colombia
81,Puerto Triunfo,Antioquia,Colombia
82,Remedios,Antioquia,Colombia
83,Retiro,Antioquia,Colombia
84,Rionegro,Antioquia,Colombia
85,Sabanalarga,Antioquia,Colombia
86,Sabaneta,Antioquia,Colombia
87,Salgar,Antioquia,Colombia
88,Ciénega,Boyacá,Colombia
89,Santacruz,Nariño,Colombia
90,San Francisco,Antioquia,Colombia
91,San Jerónimo,Antioquia,Colombia
92,Puerto Wilches,Santander,Colombia
93,Puerto Parra,Santander,Colombia
94,San Luis,Antioquia,Colombia
95,San Pedro,Antioquia,Colombia
96,San Rafael,Antioquia,Colombia
97,San Roque,Antioquia,Colombia
98,San Vicente,Antioquia,Colombia
99,Santa Bárbara,Antioquia,Colombia
100,Santo Domingo,Antioquia,Colombia
101,El Santuario,Antioquia,Colombia
102,Segovia,Antioquia,Colombia
103,Sopetrán,Antioquia,Colombia
104,Uribe,Meta,Colombia
105,Támesis,Antioquia,Colombia
106,Tarazá,Antioquia,Colombia
107,Tarso,Antioquia,Colombia
108,Titiribí,Antioquia,Colombia
109,Toledo,Antioquia,Colombia
110,Turbo,Antioquia,Colombia
111,Uramita,Antioquia,Colombia
112,Urrao,Antioquia,Colombia
113,Valdivia,Antioquia,Colombia
114,Valparaíso,Antioquia,Colombia
115,Vegachí,Antioquia,Colombia
116,Venecia,Antioquia,Colombia
117,Yalí,Antioquia,Colombia
118,Yarumal,Antioquia,Colombia
119,Yolombó,Antioquia,Colombia
120,Yondó,Antioquia,Colombia
121,Zaragoza,Antioquia,Colombia
122,Barranquilla,Atlántico,Colombia
123,Baranoa,Atlántico,Colombia
124,Candelaria,Atlántico,Colombia
125,Galapa,Atlántico,Colombia
126,Luruaco,Atlántico,Colombia
127,Malambo,Atlántico,Colombia
128,Manatí,Atlántico,Colombia
129,Piojó,Atlántico,Colombia
130,Polonuevo,Atlántico,Colombia
131,Sabanagrande,Atlántico,Colombia
132,Sabanalarga,Atlántico,Colombia
133,Santa Lucía,Atlántico,Colombia
134,Santo Tomás,Atlántico,Colombia
135,Soledad,Atlántico,Colombia
136,Suan,Atlántico,Colombia
137,Tubará,Atlántico,Colombia
138,Usiacurí,Atlántico,Colombia
139,Achí,Bolívar,Colombia
140,Arenal,Bolívar,Colombia
141,Arjona,Bolívar,Colombia
142,Arroyohondo,Bolívar,Colombia
143,Calamar,Bolívar,Colombia
144,Cantagallo,Bolívar,Colombia
145,Cicuco,Bolívar,Colombia
146,Córdoba,Bolívar,Colombia
147,Clemencia,Bolívar,Colombia
148,El Guamo,Bolívar,Colombia
149,Magangué,Bolívar,Colombia
150,Mahates,Bolívar,Colombia
151,Margarita,Bolívar,Colombia
152,Montecristo,Bolívar,Colombia
153,Mompós,Bolívar,Colombia
154,Morales,Bolívar,Colombia
155,Norosí,Bolívar,Colombia
156,Pinillos,Bolívar,Colombia
157,Regidor,Bolívar,Colombia
158,Río Viejo,Bolívar,Colombia
159,San Estanislao,Bolívar,Colombia
160,San Fernando,Bolívar,Colombia
161,San Juan Nepomuceno,Bolívar,Colombia
162,Santa Catalina,Bolívar,Colombia
163,Santa Rosa,Bolívar,Colombia
164,Simití,Bolívar,Colombia
165,Soplaviento,Bolívar,Colombia
166,Talaigua Nuevo,Bolívar,Colombia
167,Tiquisio,Bolívar,Colombia
168,Turbaco,Bolívar,Colombia
169,Turbaná,Bolívar,Colombia
170,Villanueva,Bolívar,Colombia
171,Tunja,Boyacá,Colombia
172,Almeida,Boyacá,Colombia
173,Aquitania,Boyacá,Colombia
174,Arcabuco,Boyacá,Colombia
175,Berbeo,Boyacá,Colombia
176,Betéitiva,Boyacá,Colombia
177,Boavita,Boyacá,Colombia
178,Boyacá,Boyacá,Colombia
179,Briceño,Boyacá,Colombia
180,Buena Vista,Boyacá,Colombia
181,Busbanzá,Boyacá,Colombia
182,Caldas,Boyacá,Colombia
183,Campohermoso,Boyacá,Colombia
184,Cerinza,Boyacá,Colombia
185,Chinavita,Boyacá,Colombia
186,Chiquinquirá,Boyacá,Colombia
187,Chiscas,Boyacá,Colombia
188,Chita,Boyacá,Colombia
189,Chitaraque,Boyacá,Colombia
190,Chivatá,Boyacá,Colombia
191,Cómbita,Boyacá,Colombia
192,Coper,Boyacá,Colombia
193,Corrales,Boyacá,Colombia
194,Covarachía,Boyacá,Colombia
195,Cubará,Boyacá,Colombia
196,Cucaita,Boyacá,Colombia
197,Cuítiva,Boyacá,Colombia
198,Chíquiza,Boyacá,Colombia
199,Chivor,Boyacá,Colombia
200,Duitama,Boyacá,Colombia
201,El Cocuy,Boyacá,Colombia
202,El Espino,Boyacá,Colombia
203,Firavitoba,Boyacá,Colombia
204,Floresta,Boyacá,Colombia
205,Gachantivá,Boyacá,Colombia
206,Gameza,Boyacá,Colombia
207,Garagoa,Boyacá,Colombia
208,Guacamayas,Boyacá,Colombia
209,Guateque,Boyacá,Colombia
210,Guayatá,Boyacá,Colombia
211,Güicán,Boyacá,Colombia
212,Iza,Boyacá,Colombia
213,Jenesano,Boyacá,Colombia
214,Jericó,Boyacá,Colombia
215,Labranzagrande,Boyacá,Colombia
216,La Capilla,Boyacá,Colombia
217,La Victoria,Boyacá,Colombia
218,Macanal,Boyacá,Colombia
219,Maripí,Boyacá,Colombia
220,Miraflores,Boyacá,Colombia
221,Mongua,Boyacá,Colombia
222,Monguí,Boyacá,Colombia
223,Moniquirá,Boyacá,Colombia
224,Muzo,Boyacá,Colombia
225,Nobsa,Boyacá,Colombia
226,Nuevo Colón,Boyacá,Colombia
227,Oicatá,Boyacá,Colombia
228,Otanche,Boyacá,Colombia
229,Pachavita,Boyacá,Colombia
230,Páez,Boyacá,Colombia
231,Paipa,Boyacá,Colombia
232,Pajarito,Boyacá,Colombia
233,Panqueba,Boyacá,Colombia
234,Pauna,Boyacá,Colombia
235,Paya,Boyacá,Colombia
236,Pesca,Boyacá,Colombia
237,Pisba,Boyacá,Colombia
238,Puerto Boyacá,Boyacá,Colombia
239,Quípama,Boyacá,Colombia
240,Ramiriquí,Boyacá,Colombia
241,Ráquira,Boyacá,Colombia
242,Rondón,Boyacá,Colombia
243,Saboyá,Boyacá,Colombia
244,Sáchica,Boyacá,Colombia
245,Samacá,Boyacá,Colombia
246,San Eduardo,Boyacá,Colombia
247,San Mateo,Boyacá,Colombia
248,Santana,Boyacá,Colombia
249,Santa María,Boyacá,Colombia
250,Santa Sofía,Boyacá,Colombia
251,Sativanorte,Boyacá,Colombia
252,Sativasur,Boyacá,Colombia
253,Siachoque,Boyacá,Colombia
254,Soatá,Boyacá,Colombia
255,Socotá,Boyacá,Colombia
256,Socha,Boyacá,Colombia
257,Sogamoso,Boyacá,Colombia
258,Somondoco,Boyacá,Colombia
259,Sora,Boyacá,Colombia
260,Sotaquirá,Boyacá,Colombia
261,Soracá,Boyacá,Colombia
262,Susacón,Boyacá,Colombia
263,Sutamarchán,Boyacá,Colombia
264,Sutatenza,Boyacá,Colombia
265,Tasco,Boyacá,Colombia
266,Tenza,Boyacá,Colombia
267,Tibaná,Boyacá,Colombia
268,Tinjacá,Boyacá,Colombia
269,Tipacoque,Boyacá,Colombia
270,Toca,Boyacá,Colombia
271,Tópaga,Boyacá,Colombia
272,Tota,Boyacá,Colombia
273,Turmequé,Boyacá,Colombia
274,Tutazá,Boyacá,Colombia
275,Umbita,Boyacá,Colombia
276,Ventaquemada,Boyacá,Colombia
277,Viracachá,Boyacá,Colombia
278,Zetaquira,Boyacá,Colombia
279,Manizales,Caldas,Colombia
280,Aguadas,Caldas,Colombia
281,Anserma,Caldas,Colombia
282,Aranzazu,Caldas,Colombia
283,Belalcázar,Caldas,Colombia
284,Chinchiná,Caldas,Colombia
285,Filadelfia,Caldas,Colombia
286,La Dorada,Caldas,Colombia
287,La Merced,Caldas,Colombia
288,Manzanares,Caldas,Colombia
289,Marmato,Caldas,Colombia
290,Marulanda,Caldas,Colombia
291,Neira,Caldas,Colombia
292,Norcasia,Caldas,Colombia
293,Pácora,Caldas,Colombia
294,Palestina,Caldas,Colombia
295,Pensilvania,Caldas,Colombia
296,Riosucio,Caldas,Colombia
297,Risaralda,Caldas,Colombia
298,Salamina,Caldas,Colombia
299,Samaná,Caldas,Colombia
300,San José,Caldas,Colombia
301,Supía,Caldas,Colombia
302,Victoria,Caldas,Colombia
303,Villamaría,Caldas,Colombia
304,Viterbo,Caldas,Colombia
305,Florencia,Caquetá,Colombia
306,Albania,Caquetá,Colombia
307,Curillo,Caquetá,Colombia
308,El Doncello,Caquetá,Colombia
309,El Paujil,Caquetá,Colombia
310,Morelia,Caquetá,Colombia
311,Puerto Rico,Caquetá,Colombia
312,Solano,Caquetá,Colombia
313,Solita,Caquetá,Colombia
314,Valparaíso,Caquetá,Colombia
315,Popayán,Cauca,Colombia
316,Almaguer,Cauca,Colombia
317,Argelia,Cauca,Colombia
318,Balboa,Cauca,Colombia
319,Bolívar,Cauca,Colombia
320,Buenos Aires,Cauca,Colombia
321,Cajibío,Cauca,Colombia
322,Caldono,Cauca,Colombia
323,Caloto,Cauca,Colombia
324,Corinto,Cauca,Colombia
325,El Tambo,Cauca,Colombia
326,Florencia,Cauca,Colombia
327,Guachené,Cauca,Colombia
328,Guapi,Cauca,Colombia
329,Inzá,Cauca,Colombia
330,Jambaló,Cauca,Colombia
331,La Sierra,Cauca,Colombia
332,La Vega,Cauca,Colombia
333,López,Cauca,Colombia
334,Mercaderes,Cauca,Colombia
335,Miranda,Cauca,Colombia
336,Morales,Cauca,Colombia
337,Padilla,Cauca,Colombia
338,Patía,Cauca,Colombia
339,Piamonte,Cauca,Colombia
340,Piendamó,Cauca,Colombia
341,Puerto Tejada,Cauca,Colombia
342,Puracé,Cauca,Colombia
343,Rosas,Cauca,Colombia
344,Santa Rosa,Cauca,Colombia
345,Silvia,Cauca,Colombia
346,Sotara,Cauca,Colombia
347,Suárez,Cauca,Colombia
348,Sucre,Cauca,Colombia
349,Timbío,Cauca,Colombia
350,Timbiquí,Cauca,Colombia
351,Toribio,Cauca,Colombia
352,Totoró,Cauca,Colombia
353,Villa Rica,Cauca,Colombia
354,Valledupar,Cesar,Colombia
355,Aguachica,Cesar,Colombia
356,Agustín Codazzi,Cesar,Colombia
357,Astrea,Cesar,Colombia
358,Becerril,Cesar,Colombia
359,Bosconia,Cesar,Colombia
360,Chimichagua,Cesar,Colombia
361,Chiriguaná,Cesar,Colombia
362,Curumaní,Cesar,Colombia
363,El Copey,Cesar,Colombia
364,El Paso,Cesar,Colombia
365,Gamarra,Cesar,Colombia
366,González,Cesar,Colombia
367,La Gloria,Cesar,Colombia
368,Manaure,Cesar,Colombia
369,Pailitas,Cesar,Colombia
370,Pelaya,Cesar,Colombia
371,Pueblo Bello,Cesar,Colombia
372,La Paz,Cesar,Colombia
373,San Alberto,Cesar,Colombia
374,San Diego,Cesar,Colombia
375,San Martín,Cesar,Colombia
376,Tamalameque,Cesar,Colombia
377,Montería,Córdoba,Colombia
378,Ayapel,Córdoba,Colombia
379,Buenavista,Córdoba,Colombia
380,Canalete,Córdoba,Colombia
381,Cereté,Córdoba,Colombia
382,Chimá,Córdoba,Colombia
383,Chinú,Córdoba,Colombia
384,Cotorra,Córdoba,Colombia
385,Lorica,Córdoba,Colombia
386,Los Córdobas,Córdoba,Colombia
387,Momil,Córdoba,Colombia
388,Moñitos,Córdoba,Colombia
389,Planeta Rica,Córdoba,Colombia
390,Pueblo Nuevo,Córdoba,Colombia
391,Puerto Escondido,Córdoba,Colombia
392,Purísima,Córdoba,Colombia
393,Sahagún,Córdoba,Colombia
394,San Andrés Sotavento,Córdoba,Colombia
395,San Antero,Córdoba,Colombia
396,San Pelayo,Córdoba,Colombia
397,Tierralta,Córdoba,Colombia
398,Tuchín,Córdoba,Colombia
399,Valencia,Córdoba,Colombia
400,Anapoima,Cundinamarca,Colombia
401,Arbeláez,Cundinamarca,Colombia
402,Beltrán,Cundinamarca,Colombia
403,Bituima,Cundinamarca,Colombia
404,Bojacá,Cundinamarca,Colombia
405,Cabrera,Cundinamarca,Colombia
406,Cachipay,Cundinamarca,Colombia
407,Cajicá,Cundinamarca,Colombia
408,Caparrapí,Cundinamarca,Colombia
409,Caqueza,Cundinamarca,Colombia
410,Chaguaní,Cundinamarca,Colombia
411,Chipaque,Cundinamarca,Colombia
412,Choachí,Cundinamarca,Colombia
413,Chocontá,Cundinamarca,Colombia
414,Cogua,Cundinamarca,Colombia
415,Cota,Cundinamarca,Colombia
416,Cucunubá,Cundinamarca,Colombia
417,El Colegio,Cundinamarca,Colombia
418,El Rosal,Cundinamarca,Colombia
419,Fomeque,Cundinamarca,Colombia
420,Fosca,Cundinamarca,Colombia
421,Funza,Cundinamarca,Colombia
422,Fúquene,Cundinamarca,Colombia
423,Gachala,Cundinamarca,Colombia
424,Gachancipá,Cundinamarca,Colombia
425,Gachetá,Cundinamarca,Colombia
426,Girardot,Cundinamarca,Colombia
427,Granada,Cundinamarca,Colombia
428,Guachetá,Cundinamarca,Colombia
429,Guaduas,Cundinamarca,Colombia
430,Guasca,Cundinamarca,Colombia
431,Guataquí,Cundinamarca,Colombia
432,Guatavita,Cundinamarca,Colombia
433,Guayabetal,Cundinamarca,Colombia
434,Gutiérrez,Cundinamarca,Colombia
435,Jerusalén,Cundinamarca,Colombia
436,Junín,Cundinamarca,Colombia
437,La Calera,Cundinamarca,Colombia
438,La Mesa,Cundinamarca,Colombia
439,La Palma,Cundinamarca,Colombia
440,La Peña,Cundinamarca,Colombia
441,La Vega,Cundinamarca,Colombia
442,Lenguazaque,Cundinamarca,Colombia
443,Macheta,Cundinamarca,Colombia
444,Madrid,Cundinamarca,Colombia
445,Manta,Cundinamarca,Colombia
446,Medina,Cundinamarca,Colombia
447,Mosquera,Cundinamarca,Colombia
448,Nariño,Cundinamarca,Colombia
449,Nemocón,Cundinamarca,Colombia
450,Nilo,Cundinamarca,Colombia
451,Nimaima,Cundinamarca,Colombia
452,Nocaima,Cundinamarca,Colombia
453,Venecia,Cundinamarca,Colombia
454,Pacho,Cundinamarca,Colombia
455,Paime,Cundinamarca,Colombia
456,Pandi,Cundinamarca,Colombia
457,Paratebueno,Cundinamarca,Colombia
458,Pasca,Cundinamarca,Colombia
459,Puerto Salgar,Cundinamarca,Colombia
460,Pulí,Cundinamarca,Colombia
461,Quebradanegra,Cundinamarca,Colombia
462,Quetame,Cundinamarca,Colombia
463,Quipile,Cundinamarca,Colombia
464,Apulo,Cundinamarca,Colombia
465,Ricaurte,Cundinamarca,Colombia
466,San Bernardo,Cundinamarca,Colombia
467,San Cayetano,Cundinamarca,Colombia
468,San Francisco,Cundinamarca,Colombia
469,Sesquilé,Cundinamarca,Colombia
470,Sibaté,Cundinamarca,Colombia
471,Silvania,Cundinamarca,Colombia
472,Simijaca,Cundinamarca,Colombia
473,Soacha,Cundinamarca,Colombia
474,Subachoque,Cundinamarca,Colombia
475,Suesca,Cundinamarca,Colombia
476,Supatá,Cundinamarca,Colombia
477,Susa,Cundinamarca,Colombia
478,Sutatausa,Cundinamarca,Colombia
479,Tabio,Cundinamarca,Colombia
